Gene	Family
k25_BTx623_TRINITY_GG_15764_c133_g1_i1.p1	NAC	TFF
k25_Rio_TRINITY_GG_3966_c0_g1_i9.p1	Orphans	Orphans
SC187_TRINITY_DN3001_c1_g1_i25.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_10474_c7_g1_i30.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_24105_c1_g1_i17.p1	AUX/IAA	OTR
k25_RTx430_TRINITY_GG_25077_c0_g1_i1.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_14019_c18_g2_i15.p2	ARR-B	TFF
k31_R9188_TRINITY_DN755_c1_g1_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_15389_c13_g1_i2.p2	Orphans	Orphans
k31_R9188_TRINITY_DN16673_c0_g2_i1.p1	Orphans	Orphans
k25_Tx378_TRINITY_DN3382_c0_g1_i2.p1	C2C2-Dof	TFF
k25_BTx623_TRINITY_GG_16182_c1_g1_i24.p2	SGT1	OTR
k31_BTx623_TRINITY_GG_18956_c130_g1_i6.p2	TAZ	TFF
k25_R9188_TRINITY_DN7250_c1_g1_i4.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_13293_c8_g1_i31.p1	Orphans	Orphans
k25_Mota_Maradi_TRINITY_DN19696_c0_g1_i1.p1	HB	TFF
k25_RTx430_TRINITY_GG_6708_c2_g1_i4.p1	SET	OTR
k25_Tx378_TRINITY_DN15799_c6_g1_i1.p1	MYB	TFF
k25_BTx623_TRINITY_GG_20462_c0_g1_i10.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_9143_c0_g1_i1.p2	bZIP	TFF
k31_Tx3362_TRINITY_DN16358_c0_g2_i1.p1	ARF	TFF
k25_RTx430_TRINITY_GG_16874_c0_g1_i51.p1	GNAT	OTR
k25_BAZ9504_TRINITY_DN20850_c0_g1_i1.p1	HMG	OTR
k25_BTx623_TRINITY_GG_18457_c3_g1_i11.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_15168_c71_g1_i1.p1	GNAT	OTR
k25_Tx3362_TRINITY_DN3729_c1_g2_i1.p1	GNAT	OTR
k25_BTx623_TRINITY_GG_14024_c60_g1_i14.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_4652_c2_g2_i3.p2	Tify	TFF
k25_Rio_TRINITY_GG_17950_c0_g1_i34.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_12853_c9_g1_i7.p1	bHLH	TFF
k25_RTx430_TRINITY_GG_3231_c1_g1_i43.p1	TIG	TFF
k25_Tx2737_TRINITY_DN11617_c0_g1_i6.p2	MADS	TFF
k25_RTx430_TRINITY_GG_14866_c0_g1_i7.p1	CPP	TFF
k25_RTx430_TRINITY_GG_16539_c2_g1_i76.p1	zf-C5HC2	TFF
TAM428_TRINITY_DN42298_c0_g1_i9.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_9763_c32_g1_i8.p2	PHD	OTR
k25_RTx430_TRINITY_GG_23393_c1_g1_i70.p1	SET	OTR
k25_RTx430_TRINITY_GG_25797_c0_g1_i1.p1	bHLH	TFF
k31_BTx623_TRINITY_GG_6905_c3_g1_i27.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_2637_c7_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_3131_c5_g1_i1.p1	C2C2-Dof	TFF
k25_BTx623_TRINITY_GG_16078_c25_g2_i1.p1	C2C2-Dof	TFF
k31_BTx623_TRINITY_GG_12377_c0_g1_i75.p1	Orphans	Orphans
k25_SM100_TRINITY_DN27487_c0_g2_i3.p3	BES1	TFF
keller_TRINITY_DN17022_c0_g3_i1.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_13845_c0_g1_i13.p2	HMG	OTR
k25_Rio_TRINITY_GG_2507_c0_g1_i7.p1	zf-C5HC2	TFF
k25_BTx623_TRINITY_GG_13387_c5_g1_i1.p4	PHD	OTR
k25_BTx623_TRINITY_GG_16874_c76_g1_i54.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_8927_c0_g1_i54.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_15412_c1_g1_i15.p2	E2F-DP	TFF
k25_BAZ9504_TRINITY_DN8294_c2_g1_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_14999_c17_g1_i15.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_20100_c16_g1_i82.p1	MYB-related	TFF
k31_BTx623_TRINITY_GG_3515_c2_g1_i18.p1	bZIP	TFF
k31_Tx3362_TRINITY_DN1526_c0_g5_i1.p2	AP2-EREBP	TFF
k31_BTx623_TRINITY_GG_4799_c1_g1_i11.p1	Tify	TFF
k31_BTx623_TRINITY_GG_16639_c78_g1_i8.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_17387_c7_g1_i49.p1	ARID	OTR
k25_Rio_TRINITY_GG_16070_c0_g1_i1.p1	mTERF	OTR
k25_RTx430_TRINITY_GG_11256_c6_g3_i6.p1	zf-fF-X1	TFF
k31_Tx3362_TRINITY_DN3337_c0_g1_i25.p1	HMG	OTR
k25_BTx623_TRINITY_GG_14518_c0_g1_i1.p2	CPP	TFF
k25_RTx430_TRINITY_GG_10082_c0_g1_i1.p1	CCAAT	TFF
k31_BTx623_TRINITY_GG_11510_c4_g1_i20.p1	FHA	TFF
k31_BTx623_TRINITY_GG_11186_c5_g1_i18.p2	TFIID	TFF
k25_RTx430_TRINITY_GG_24427_c0_g1_i1.p1	zf-BED	TFF
keller_TRINITY_DN19688_c0_g2_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_16598_c3_g1_i107.p1	DDT	OTR
k25_BTx623_TRINITY_GG_2667_c1_g1_i12.p1	MYB-related	TFF
k25_Mota_Maradi_TRINITY_DN12407_c2_g1_i1.p2	Orphans	Orphans
k25_Rio_TRINITY_GG_12802_c0_g1_i87.p1	TUB	TFF
k25_Tx3362_TRINITY_DN25825_c0_g3_i1.p1	C2H2	TFF
k25_Mota_Maradi_TRINITY_DN1796_c0_g5_i1.p1	MYB	TFF
k31_BTx623_TRINITY_GG_12215_c0_g1_i7.p1	SBP	TFF
k25_BTx623_TRINITY_GG_13560_c8_g1_i51.p1	C3H	TFF
k25_RTx430_TRINITY_GG_16470_c0_g1_i1.p1	C2C2-YABBY	TFF
k25_BTx623_TRINITY_GG_4675_c33_g1_i2.p1	MYB-related	TFF
k25_Tx7000_TRINITY_DN7928_c0_g3_i1.p1	zf-BED	TFF
k25_BTx623_TRINITY_GG_17927_c52_g1_i2.p1	NAC	TFF
k25_RTx430_TRINITY_GG_17490_c0_g1_i32.p1	C3H	TFF
k25_RTx430_TRINITY_GG_23313_c0_g1_i4.p1	C2C2-GATA	TFF
k25_BTx623_TRINITY_GG_10598_c9_g1_i37.p1	SBP	TFF
k25_BTx623_TRINITY_GG_11083_c7_g1_i12.p2	Orphans	Orphans
k31_RTx430_TRINITY_GG_5092_c0_g1_i5.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_16861_c32_g2_i8.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_23850_c5_g1_i1.p1	NAC	TFF
k25_RTx430_TRINITY_GG_1557_c4_g1_i81.p1	RB	OTR
k25_BTx623_TRINITY_GG_277_c13_g1_i15.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_5537_c0_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_14607_c0_g1_i2.p3	MYB-related	TFF
k25_R9188_TRINITY_DN10025_c0_g2_i12.p1	MED26	OTR
k25_BTx623_TRINITY_GG_10576_c2_g1_i9.p1	Not1	TFF
k25_BTx623_TRINITY_GG_6441_c137_g1_i11.p2	SBP	TFF
k31_BTx623_TRINITY_GG_2588_c1_g1_i60.p1	zf-BED	TFF
k25_Rio_TRINITY_GG_13057_c1_g1_i11.p2	Orphans	Orphans
k25_RTx430_TRINITY_GG_5295_c5_g1_i24.p1	C2C2-GATA	TFF
k25_RTx430_TRINITY_GG_23620_c4_g1_i38.p1	ARF	TFF
k25_BTx623_TRINITY_GG_17358_c4_g1_i57.p1	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_20100_c11_g1_i20.p3	MYB-related	TFF
k25_BTx623_TRINITY_GG_10875_c0_g1_i2.p1	Orphans	Orphans
TAM428_TRINITY_DN9202_c3_g1_i1.p1	TRAF	OTR
k31_RTx430_TRINITY_GG_7595_c1_g1_i82.p1	bHLH	TFF
k25_R9188_TRINITY_DN3850_c0_g2_i1.p1	Orphans	Orphans
SC187_TRINITY_DN16525_c2_g1_i1.p1	FHA	TFF
k31_Rio_TRINITY_GG_6496_c0_g1_i11.p1	TAZ	TFF
k25_BTx623_TRINITY_GG_2641_c19_g1_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_9751_c20_g4_i1.p3	Orphans	Orphans
k25_BTx623_TRINITY_GG_10731_c32_g1_i101.p1	NAC	TFF
k25_BTx623_TRINITY_GG_20094_c34_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_13978_c32_g1_i4.p1	MYB-related	TFF
SC187_TRINITY_DN6437_c0_g2_i2.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_25009_c2_g1_i28.p1	FHA	TFF
k31_RTx430_TRINITY_GG_24406_c4_g1_i3.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_19829_c0_g1_i128.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_17314_c1_g1_i2.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_13292_c19_g1_i1.p1	WRKY	TFF
k31_Tx3362_TRINITY_DN4814_c1_g1_i2.p1	C2C2-GATA	TFF
k25_BTx623_TRINITY_GG_6441_c177_g1_i1.p1	AUX/IAA	OTR
k31_Rio_TRINITY_GG_1234_c0_g1_i32.p1	Jumonji	OTR
k25_BTx623_TRINITY_GG_1636_c2_g1_i5.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_10443_c3_g1_i30.p1	zf-C5HC2	TFF
k25_BTx623_TRINITY_GG_9997_c0_g1_i6.p2	MYB-related	TFF
k25_BTx623_TRINITY_GG_13970_c0_g1_i17.p1	Orphans	Orphans
k31_Tx3362_TRINITY_DN4940_c0_g1_i3.p1	Jumonji	OTR
k25_RTx430_TRINITY_GG_1777_c5_g1_i6.p2	PHD	OTR
k25_Rio_TRINITY_GG_927_c0_g1_i12.p1	Tudor-knot	OTR
k31_BTx623_TRINITY_GG_3936_c8_g1_i1.p1	Orphans	Orphans
k25_BAZ9504_TRINITY_DN16512_c0_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_21884_c4_g1_i3.p3	TRAF	OTR
k25_RTx430_TRINITY_GG_2358_c4_g1_i2.p1	HSF	TFF
k25_BTx623_TRINITY_GG_15395_c0_g1_i1.p1	MYB	TFF
k25_SM100_TRINITY_DN37180_c0_g1_i1.p1	AP2-EREBP	TFF
k31_BTx623_TRINITY_GG_17513_c2_g1_i4.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_2633_c4_g1_i2.p1	AUX/IAA	OTR
k31_RTx430_TRINITY_GG_21773_c10_g1_i16.p1	Rcd1-like	OTR
k31_Rio_TRINITY_GG_22079_c2_g1_i57.p3	Orphans	Orphans
k25_BTx623_TRINITY_GG_1964_c0_g1_i2.p2	WRKY	TFF
k25_Tx378_TRINITY_DN15494_c0_g1_i3.p3	Orphans	Orphans
k25_BTx623_TRINITY_GG_13721_c30_g1_i21.p1	C3H	TFF
k25_Rio_TRINITY_GG_14849_c8_g1_i3.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_5416_c0_g1_i1.p1	TRAF	OTR
k31_BTx623_TRINITY_GG_14800_c12_g2_i11.p1	HB	TFF
k31_BTx623_TRINITY_GG_13368_c10_g1_i70.p2	C3H	TFF
k25_Rio_TRINITY_GG_11898_c0_g1_i15.p2	PHD	OTR
k25_RTx430_TRINITY_GG_13920_c4_g1_i18.p1	HB	TFF
k31_BTx623_TRINITY_GG_5723_c5_g1_i13.p1	SET	OTR
k25_BTx623_TRINITY_GG_20116_c7_g1_i17.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_185_c0_g1_i116.p1	TIG	TFF
k31_R9188_TRINITY_DN83114_c0_g1_i1.p1	GRAS	TFF
k31_BTx623_TRINITY_GG_18900_c25_g1_i25.p1	PHD	OTR
k25_BTx623_TRINITY_GG_15386_c137_g1_i4.p1	NAC	TFF
k31_BTx623_TRINITY_GG_13354_c0_g1_i7.p1	NAC	TFF
k31_BTx623_TRINITY_GG_17118_c5_g1_i16.p1	ABI3VP1	TFF
k25_Rio_TRINITY_GG_4595_c1_g1_i20.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_4659_c20_g1_i3.p1	FAR1	TFF
k25_RTx430_TRINITY_GG_14443_c0_g1_i13.p1	zf-BED	TFF
k25_RTx430_TRINITY_GG_23620_c4_g1_i74.p1	ARF	TFF
k31_Rio_TRINITY_GG_2482_c0_g1_i6.p1	NAC	TFF
k31_BTx623_TRINITY_GG_13216_c19_g1_i20.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_16878_c13_g1_i3.p2	HSF	TFF
k25_BTx623_TRINITY_GG_16460_c2_g1_i32.p2	WRKY	TFF
k25_Tx378_TRINITY_DN8961_c0_g2_i4.p1	MED26	OTR
k25_BTx623_TRINITY_GG_15489_c4_g1_i16.p2	Orphans	Orphans
k31_RTx430_TRINITY_GG_19602_c6_g1_i98.p2	bHLH	TFF
k25_BTx623_TRINITY_GG_16880_c14_g1_i28.p1	MYB	TFF
k31_BTx623_TRINITY_GG_8857_c23_g1_i5.p3	ABI3VP1	TFF
SC187_TRINITY_DN13688_c0_g3_i1.p3	AP2-EREBP	TFF
k31_RTx430_TRINITY_GG_1876_c0_g1_i14.p1	MADS	TFF
k31_Rio_TRINITY_GG_28680_c35_g1_i32.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_14152_c9_g1_i43.p1	ARF	TFF
k25_Tx378_TRINITY_DN5909_c0_g2_i1.p1	TIG	TFF
k25_Rio_TRINITY_GG_27104_c2_g1_i20.p1	DDT	OTR
k25_BTx623_TRINITY_GG_17927_c52_g1_i1.p1	NAC	TFF
k31_BTx623_TRINITY_GG_17147_c9_g1_i12.p1	ARID	OTR
k25_Tx378_TRINITY_DN8801_c1_g3_i1.p1	HB	TFF
k25_Rio_TRINITY_GG_19248_c5_g1_i1.p2	CCAAT	TFF
k25_BTx623_TRINITY_GG_10813_c1_g1_i123.p2	GNAT	OTR
k31_Tx378_TRINITY_DN22468_c0_g1_i1.p1	NAC	TFF
k25_Rio_TRINITY_GG_2827_c2_g1_i1.p1	C3H	TFF
k25_R9188_TRINITY_DN3590_c0_g1_i2.p1	SET	OTR
k25_BTx623_TRINITY_GG_10304_c0_g2_i1.p2	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_16874_c16_g1_i3.p1	bHLH	TFF
k25_Rio_TRINITY_GG_18242_c2_g1_i11.p3	SET	OTR
SC187_TRINITY_DN602_c1_g2_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_3568_c4_g1_i45.p1	BES1	TFF
k25_Rio_TRINITY_GG_5323_c0_g1_i21.p1	bZIP	TFF
k31_Mota_Maradi_TRINITY_DN659_c0_g2_i2.p1	bHLH	TFF
keller_TRINITY_DN16640_c0_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_20082_c11_g1_i111.p1	MED26	OTR
k25_RTx430_TRINITY_GG_19668_c6_g1_i23.p1	DDT	OTR
keller_TRINITY_DN3963_c0_g1_i1.p1	ARF	TFF
k25_BTx623_TRINITY_GG_12843_c5_g1_i2.p1	zf-BED	TFF
k31_RTx430_TRINITY_GG_3269_c7_g1_i13.p1	NAC	TFF
k25_BTx623_TRINITY_GG_3293_c38_g1_i5.p1	WRKY	TFF
k25_RTx430_TRINITY_GG_16539_c2_g1_i62.p1	Jumonji	OTR
k31_BTx623_TRINITY_GG_8857_c23_g1_i17.p1	ARF	TFF
k25_BTx623_TRINITY_GG_2983_c3_g1_i54.p4	ABI3VP1	TFF
k31_Rio_TRINITY_GG_21217_c1_g1_i18.p1	bZIP	TFF
k25_RTx430_TRINITY_GG_21767_c7_g1_i50.p1	FAR1	TFF
k25_RTx430_TRINITY_GG_25534_c6_g1_i8.p1	mTERF	OTR
k31_RTx430_TRINITY_GG_16684_c0_g1_i11.p1	NAC	TFF
k25_Rio_TRINITY_GG_14154_c0_g1_i20.p1	TIG	TFF
k25_Rio_TRINITY_GG_18645_c2_g1_i1.p1	zf-HD	TFF
k25_BTx623_TRINITY_GG_19219_c9_g1_i10.p1	SBP	TFF
k31_BTx623_TRINITY_GG_3241_c3_g1_i6.p5	SET	OTR
k31_Tx3362_TRINITY_DN4332_c0_g4_i4.p1	MYB	TFF
k25_R9188_TRINITY_DN9639_c0_g7_i1.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_11731_c0_g1_i97.p1	RB	OTR
k31_BTx623_TRINITY_GG_19823_c3_g1_i13.p1	FAR1	TFF
k25_BTx623_TRINITY_GG_13560_c1_g1_i4.p1	C3H	TFF
k25_RTx430_TRINITY_GG_18320_c0_g1_i106.p2	E2F-DP	TFF
k25_Tx378_TRINITY_DN9439_c0_g1_i2.p1	MYB-related	TFF
k25_Tx3362_TRINITY_DN4755_c0_g1_i8.p1	PHD	OTR
k25_BTx623_TRINITY_GG_19207_c1_g1_i2.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_4657_c7_g1_i4.p1	WRKY	TFF
keller_TRINITY_DN1046_c0_g3_i3.p1	CCAAT	TFF
k25_Tx378_TRINITY_DN5005_c0_g3_i1.p1	TRAF	OTR
M35-1_TRINITY_DN19141_c1_g3_i2.p1	zf-BED	TFF
k25_Rio_TRINITY_GG_16827_c0_g1_i20.p2	HB	TFF
k25_Rio_TRINITY_GG_18814_c0_g1_i15.p3	AP2-EREBP	TFF
k25_BAZ9504_TRINITY_DN7295_c0_g1_i13.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_10602_c7_g1_i28.p1	WRKY	TFF
k31_Rio_TRINITY_GG_5993_c2_g1_i4.p1	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_7302_c25_g1_i5.p2	mTERF	OTR
TAM428_TRINITY_DN1420_c0_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_26079_c9_g1_i13.p1	Orphans	Orphans
k25_R9188_TRINITY_DN16457_c0_g1_i1.p1	AP2-EREBP	TFF
k31_BTx623_TRINITY_GG_19387_c9_g1_i69.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_17358_c90_g1_i1.p1	MYB	TFF
k25_Rio_TRINITY_GG_23935_c0_g1_i58.p1	MYB-related	TFF
k31_BTx623_TRINITY_GG_19809_c23_g1_i6.p1	TUB	TFF
k31_BTx623_TRINITY_GG_9005_c3_g1_i3.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_22341_c4_g1_i9.p1	BSD	TFF
k25_RTx430_TRINITY_GG_21873_c5_g1_i22.p3	DDT	OTR
k25_BTx623_TRINITY_GG_13967_c13_g1_i27.p2	MYB-related	TFF
k25_BTx623_TRINITY_GG_2422_c42_g1_i7.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_16078_c20_g1_i103.p4	HB	TFF
k25_RTx430_TRINITY_GG_23617_c0_g1_i71.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_6519_c33_g1_i1.p1	Tify	TFF
k25_Rio_TRINITY_GG_7026_c0_g1_i2.p1	GNAT	OTR
k31_RTx430_TRINITY_GG_23495_c0_g1_i19.p1	ABI3VP1	TFF
k25_Mota_Maradi_TRINITY_DN5911_c1_g3_i2.p2	MYB-related	TFF
k25_Rio_TRINITY_GG_27406_c0_g1_i22.p1	C3H	TFF
k31_RTx430_TRINITY_GG_15556_c11_g1_i21.p1	bZIP	TFF
k25_RTx430_TRINITY_GG_19870_c7_g1_i2.p2	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_14996_c31_g2_i9.p1	NAC	TFF
k25_RTx430_TRINITY_GG_24261_c0_g1_i1.p1	SET	OTR
k31_R9188_TRINITY_DN3817_c0_g2_i2.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_22580_c6_g1_i1.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_17358_c4_g1_i55.p1	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_14994_c34_g3_i7.p1	MYB-related	TFF
k31_Rio_TRINITY_GG_7480_c3_g1_i31.p1	TIG	TFF
k25_Rio_TRINITY_GG_26262_c0_g1_i9.p1	TRAF	OTR
k25_RTx430_TRINITY_GG_3184_c0_g2_i1.p1	SET	OTR
k25_BTx623_TRINITY_GG_13973_c56_g1_i1.p1	SET	OTR
k25_BTx623_TRINITY_GG_4655_c56_g1_i1.p1	HSF	TFF
k31_BTx623_TRINITY_GG_16212_c0_g1_i7.p1	MYB-related	TFF
k25_Rio_TRINITY_GG_14283_c0_g1_i3.p1	SWI/SNF-BAF60b	OTR
k25_BTx623_TRINITY_GG_256_c31_g1_i6.p1	WRKY	TFF
k25_RTx430_TRINITY_GG_16509_c2_g1_i134.p1	Jumonji	OTR
k31_RTx430_TRINITY_GG_13897_c0_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_19824_c25_g1_i1.p1	Orphans	Orphans
TAM428_TRINITY_DN80663_c0_g1_i1.p1	SBP	TFF
k25_RTx430_TRINITY_GG_2709_c5_g1_i1.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_256_c9_g1_i8.p1	MADS	TFF
k31_BTx623_TRINITY_GG_17749_c4_g1_i92.p1	SAP	TFF
k31_BTx623_TRINITY_GG_10922_c10_g1_i50.p2	MYB-related	TFF
k31_BTx623_TRINITY_GG_2635_c11_g1_i8.p1	ABI3VP1	TFF
k31_BTx623_TRINITY_GG_16623_c89_g1_i13.p1	Orphans	Orphans
k25_R9188_TRINITY_DN781_c0_g3_i1.p1	C2C2-YABBY	TFF
k25_BTx623_TRINITY_GG_13462_c0_g1_i22.p2	bHLH	TFF
k25_Rio_TRINITY_GG_265_c3_g1_i3.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_381_c32_g1_i35.p2	LIM	TFF
k25_Tx3362_TRINITY_DN18085_c1_g1_i1.p1	HB	TFF
k31_BTx623_TRINITY_GG_12975_c1_g1_i370.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_3408_c4_g1_i8.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_14980_c0_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_4659_c20_g1_i2.p1	FAR1	TFF
k25_RTx430_TRINITY_GG_3724_c0_g1_i21.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_1858_c6_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_17997_c5_g2_i5.p1	SAP	TFF
k25_BAZ9504_TRINITY_DN16925_c0_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_16739_c0_g1_i11.p1	Orphans	Orphans
k25_BAZ9504_TRINITY_DN4696_c0_g3_i1.p1	Orphans	Orphans
k31_RTx430_TRINITY_GG_17090_c5_g1_i291.p1	SWI/SNF-SWI3	OTR
k25_BTx623_TRINITY_GG_10601_c1_g1_i120.p2	bHLH	TFF
k25_BTx623_TRINITY_GG_2312_c4_g1_i1.p2	TUB	TFF
k25_BTx623_TRINITY_GG_18596_c0_g1_i8.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_14151_c42_g1_i3.p1	NAC	TFF
keller_TRINITY_DN5334_c0_g1_i1.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_6647_c0_g1_i1.p1	Orphans	Orphans
k31_RTx430_TRINITY_GG_5858_c9_g1_i1.p1	NAC	TFF
k25_BTx623_TRINITY_GG_11330_c2_g1_i1.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_16886_c11_g1_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_17746_c1_g1_i14.p4	Orphans	Orphans
k25_BTx623_TRINITY_GG_16880_c10_g1_i16.p2	Orphans	Orphans
k31_BAZ9504_TRINITY_DN23414_c0_g1_i1.p1	FAR1	TFF
k25_BTx623_TRINITY_GG_13403_c6_g1_i37.p2	ARF	TFF
k25_BTx623_TRINITY_GG_5300_c97_g1_i1.p2	AP2-EREBP	TFF
k31_Tx3362_TRINITY_DN11_c0_g1_i3.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_15543_c10_g1_i15.p1	Yl1	TFF
k25_RTx430_TRINITY_GG_4883_c5_g1_i8.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_16739_c0_g1_i25.p2	Orphans	Orphans
k25_RTx430_TRINITY_GG_24131_c5_g1_i5.p2	MYB-related	TFF
k25_BTx623_TRINITY_GG_5297_c0_g1_i4.p2	TRAF	OTR
k25_RTx430_TRINITY_GG_9840_c5_g1_i24.p1	ABI3VP1	TFF
k31_RTx430_TRINITY_GG_15910_c1_g1_i82.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_5409_c2_g1_i119.p1	PHD	OTR
k25_RTx430_TRINITY_GG_2373_c0_g1_i103.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_16861_c7_g1_i1.p1	TRAF	OTR
k25_BTx623_TRINITY_GG_257_c108_g1_i2.p1	TFIIS	TFF
k25_BTx623_TRINITY_GG_14332_c6_g1_i2.p3	HSF	TFF
k25_Rio_TRINITY_GG_25365_c0_g1_i1.p1	MYB	TFF
M35-1_TRINITY_DN35033_c0_g2_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_2129_c1_g1_i55.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_10602_c22_g1_i29.p1	PHD	OTR
k25_BTx623_TRINITY_GG_9125_c7_g1_i37.p1	PHD	OTR
k25_BTx623_TRINITY_GG_1319_c0_g1_i1.p1	NAC	TFF
k25_RTx430_TRINITY_GG_9555_c0_g1_i2.p1	MYB	TFF
k25_BTx623_TRINITY_GG_4012_c29_g1_i1.p1	zf-HD	TFF
k25_BTx623_TRINITY_GG_3390_c0_g1_i99.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_9030_c0_g1_i1.p1	mTERF	OTR
k25_Rio_TRINITY_GG_3834_c0_g1_i1.p1	C3H	TFF
k31_Rio_TRINITY_GG_13751_c0_g1_i52.p1	SET	OTR
k31_Della_TRINITY_DN10657_c0_g1_i2.p1	GRAS	TFF
k25_RTx430_TRINITY_GG_11676_c0_g1_i3.p1	Tify	TFF
k25_BTx623_TRINITY_GG_7160_c6_g1_i2.p1	AP2-EREBP	TFF
k25_R9188_TRINITY_DN5814_c0_g1_i28.p2	WRKY	TFF
k25_BTx623_TRINITY_GG_503_c11_g1_i1.p1	GRAS	TFF
TAM428_TRINITY_DN3980_c0_g1_i2.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_4470_c0_g1_i11.p2	Orphans	Orphans
k25_RTx430_TRINITY_GG_12335_c0_g1_i57.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_6507_c15_g1_i4.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_9381_c25_g1_i3.p1	PHD	OTR
k25_RTx430_TRINITY_GG_19463_c0_g1_i15.p1	HMG	OTR
k25_Rio_TRINITY_GG_7842_c0_g1_i3.p2	bHLH	TFF
k25_RTx430_TRINITY_GG_18386_c0_g1_i2.p1	bHLH	TFF
k25_RTx430_TRINITY_GG_1629_c0_g1_i1.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_15757_c3_g1_i11.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_15911_c2_g1_i13.p1	SET	OTR
